id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10457293,Rental unit in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 bath,15357546,Tom And Susan,,Leonidas,29.95361,-90.13282,Entire home/apt,110,30,107,2022-06-01,1.12,5,243,0,
10511057,Rental unit in New Orleans · ★4.82 · 1 bedroom · 1 bed · 1 bath,4841202,Matilde,,St. Claude,29.9653,-90.04336,Entire home/apt,70,30,11,2023-08-12,0.13,4,239,3,
10535114,Rental unit in New Orleans · ★4.69 · 3 bedrooms · 3 beds · 2 baths,5951318,Dr. Therese,,St.  Anthony,30.02263,-90.06922,Entire home/apt,195,30,45,2023-09-04,0.47,2,365,2,
10541052,Bed and breakfast in New Orleans · ★4.88 · 4 bedrooms · 8 beds · 0 baths,13059899,Asia,,Marigny,29.96490660289477,-90.05863773557053,Private room,999,2,64,2020-03-08,0.73,8,50,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
10541702,Rental unit in New Orleans · ★4.87 · 3 bedrooms · 4 beds · 2 baths,26598201,Freddy,,Mid-City,29.96835,-90.09289,Entire home/apt,60,30,99,2023-09-15,1.04,7,334,2,
10542368,Rental unit in New Orleans · ★4.89 · 3 bedrooms · 4 beds · 2 baths,26598201,Freddy,,Mid-City,29.96774,-90.09311,Entire home/apt,75,30,118,2023-01-01,1.24,7,301,1,
10549297,Home in New Orleans · ★4.88 · 1 bedroom · 3 beds · 1 bath,54405249,Mary Ann,,Lower Garden District,29.93001,-90.07724,Entire home/apt,75,30,182,2023-04-19,1.91,3,262,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
10562083,Home in New Orleans · 1 bedroom · 1 bed · 1 shared bath,54478905,Kevin,,Algiers Point,29.95195,-90.04732,Private room,95,30,1,2016-05-01,0.01,2,0,0,
10564152,Guesthouse in New Orleans · 1 bedroom · 2 beds · 1 bath,54489045,Eve,,Lakeshore - Lake Vista,30.02111,-90.09421,Entire home/apt,200,2,0,,,2,266,0,"23-NSTR-17689, 23-OSTR-09791"
10571739,Condo in New Orleans · ★4.91 · 1 bedroom · 1 bed · 1 private bath,39765837,Michele,,Irish Channel,29.92386,-90.07992,Private room,700,2,22,2022-04-03,0.25,1,86,0,"19STR-21077, 19-OSTR-0000"
10596717,Townhouse in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1 bath,290129,Jacquelyn,,Bywater,29.96405,-90.05015,Entire home/apt,171,2,194,2023-11-27,2.04,1,61,33,"19STR-21404, 20-OSTR-02176"
10613263,Home in New Orleans · ★4.93 · 1 bedroom · 2 beds · 1 bath,1349563,Suzette,,Gentilly Terrace,29.99585,-90.05905,Private room,65,30,27,2018-12-29,0.28,1,365,0,
10625253,Home in New Orleans · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,4645353,Beverly,,Bywater,29.96376,-90.0459,Private room,61,1,175,2020-03-12,1.84,3,0,0,CNO STR Residential License: #21-RSTR-00144  CNO STR Operator License: #20-OSTR-00401
10628047,Guesthouse in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 1 bath,53734423,Vilna & Lois,,Seventh Ward,29.98385,-90.06023,Entire home/apt,94,2,153,2023-11-19,1.63,2,253,26,"23-NSTR-16017, 23-OSTR-15962"
10633545,Rental unit in New Orleans · ★4.50 · 1 bedroom · 2 beds · 1 bath,54893115,Bill,,Central City,29.94244,-90.07461,Entire home/apt,48,60,10,2023-02-25,0.11,1,362,1,
10683224,Home in New Orleans · ★4.85 · 4 bedrooms · 4 beds · 1.5 baths,55187534,Glynn,,Lower Garden District,29.9271,-90.07749,Entire home/apt,120,2,194,2023-07-01,2.03,2,152,13,"21RSTR-14865, 21-OSTR-14836"
10706121,Home in New Orleans · ★5.0 · 1 bedroom · 2 beds · 1 private bath,6367760,Cole,,Seventh Ward,29.96914,-90.05859,Private room,114,30,3,2017-05-29,0.03,1,0,0,
10709611,Home in New Orleans · ★4.69 · 2 bedrooms · 3 beds · 1 bath,4865581,Lindsey,,Irish Channel,29.92114,-90.08575,Entire home/apt,109,2,229,2023-11-12,2.40,1,0,30,"21-RSTR-07272, 20-OSTR-20332"
10722615,Villa in New Orleans · ★4.82 · 1 bedroom · 1 bed · 1 bath,41403925,Alyssa,,French Quarter,29.95657,-90.06836,Entire home/apt,204,30,125,2023-11-02,1.32,8,254,8,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
10732784,Home in New Orleans · ★4.97 · 5 bedrooms · 4 beds · 4 baths,22816578,Robb,,St. Claude,29.96838,-90.0402,Entire home/apt,134,2,151,2023-11-26,1.62,3,184,29,"22-RSTR-13154, 22-OSTR-13151"
10749004,Home in New Orleans · 3 bedrooms · 2 beds · 2.5 shared baths,55573384,Lee,,Navarre,29.98838,-90.11082,Private room,514,30,1,2019-10-28,0.02,1,270,0,19STR-24698
10790459,Home in New Orleans · ★4.98 · 3 bedrooms · 3 beds · 2 baths,55837234,Paula,,Leonidas,29.95184,-90.12869,Entire home/apt,269,2,355,2023-11-26,3.73,1,115,29,"19STR-23165, 20-OSTR-0784"
10806765,Rental unit in New Orleans · ★4.68 · 2 bedrooms · 2 beds · 2 baths,55942584,Charlie,,Marigny,29.96282,-90.05727,Entire home/apt,214,30,71,2022-03-04,0.75,1,335,0,
10822746,Home in New Orleans · ★4.99 · 3 bedrooms · 4 beds · 2.5 baths,56037377,Harriet,,Audubon,29.92286,-90.12756,Entire home/apt,206,3,87,2023-10-16,0.92,4,39,14,"21-RSTR-07297, 19OSTR-26959"
10836381,Rental unit in New Orleans · 1 bedroom · 1 bed · 1 bath,56111733,Yazmin,,Little Woods,30.04934,-89.98176,Entire home/apt,200,30,0,,,1,365,0,
10860279,Rental unit in New Orleans · ★4.77 · 2 bedrooms · 2 beds · 1 bath,56255807,Josh,,East Carrollton,29.93991,-90.12795,Entire home/apt,99,30,75,2019-12-02,0.79,1,0,0,
10879188,Home in New Orleans · ★4.94 · 3 bedrooms · 3 beds · 2 baths,56364673,Penelope,,Treme - Lafitte,29.96566,-90.06609,Entire home/apt,236,2,198,2023-11-12,2.13,5,234,11,"19RSTR-26299, 19-OSTR-70090"
10880950,Home in New Orleans · ★4.98 · 1 bedroom · 1 bed · 1 private bath,12238785,Jeanne & Marc,,Leonidas,29.94951,-90.12768,Private room,350,30,243,2020-03-18,2.58,1,83,0,17STR-06644 operators license  number 20-OSTR-02371
10882352,Rental unit in New Orleans · ★4.45 · 3 bedrooms · 2 beds · 1 bath,31761838,Raymond,,Broadmoor,29.94316,-90.10083,Entire home/apt,125,30,11,2017-03-03,0.12,1,365,0,
10882528,Home in New Orleans · ★4.96 · 4 bedrooms · 4 beds · 3 baths,56271422,Linda,,Bayou St. John,29.97781,-90.08756,Entire home/apt,400,30,184,2023-11-04,1.95,1,351,13,"17STR-05366, 20-ostr-21274"
10899387,Cottage in New Orleans · ★4.88 · 2 bedrooms · 2 beds · 2 baths,56483285,Jamie,,Fairgrounds,29.97776,-90.07779,Entire home/apt,159,30,42,2018-11-19,0.45,1,0,0,
